"product_id","sku","url","title","color","sale_price/amount","sale_price/amount_with_symbol","retail_price/amount","retail_price/amount_with_symbol","discount_percentage","category_name","category_id","description","reviews_count","average_rating"
"27684409","sm2312038816301369","https://us.shein.com/Manfinity-RSRT-Men-S-Leaf-Print-Short-Sleeve-Shirt-And-Shorts-Set-p-27684409-cat-9037.html","Manfinity RSRT Men'S Leaf Print Short Sleeve Shirt And Shorts Set","Multicolor","13.17","$13.17","19.09","$19.09","31","Men Shirt Co-ords","9037","Color: Multicolor
Style: Boho
Pattern Type: Tropical
Neckline: Collar
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Pocket
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Fabric: Non-Stretch
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Sheer: No
","100","4.93"
"20024345","sm2307111065650460","https://us.shein.com/Manfinity-Homme-Men-Slogan-Graphic-Tee-p-20024345-cat-1980.html","Manfinity Homme Men Slogan Graphic Tee","Navy Blue","6.38","$6.38","8.99","$8.99","29","Men T-Shirts","1980","Color: Navy Blue
Style: Casual
Pattern Type: Slogan
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","500","4.9"
"29709304","sm2311306359714426","https://us.shein.com/Manfinity-RSRT-2pcs-Set-Plus-Size-Men-s-Geometric-Printed-Woven-Casual-Shirt-p-29709304-cat-9039.html","Manfinity RSRT 2pcs/Set Plus Size Men's Geometric Printed Woven Casual Shirt","Multicolor","20.49","$20.49","23.89","$23.89","14","Men Plus Size Shirt Co-ords","9039","Color: Multicolor
Style: Boho
Pattern Type: Geometric
Pattern Type: Striped
Pattern Type: Tribal
Neckline: Collar
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Pocket
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Fabric: Non-Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
","0","0"
"30883481","sm2403028581322894","https://us.shein.com/Mens-Warning-May-Yell-At-Video-Games-Tshirt-Funny-Smart-Rage-Quit-Novelty-Graphic-Tee-Heather-Black-3XL-p-30883481-cat-1980.html","Mens Warning May Yell At Video Games Tshirt Funny Smart Rage Quit Novelty Graphic Tee (Heather Black) - 3XL","Heather Black","11.99","$11.99","11.99","$11.99","0","Men T-Shirts","1980","Color: Heather Black
Style: Casual
Length: Regular
Features: Great quality
Fabric: Medium Stretch
Material: Composite Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
","0","0"
"13537591","sm2212075868805235","https://us.shein.com/Men-Solid-Drawstring-Waist-Sweatpants-p-13537591-cat-2988.html","Men Solid Drawstring Waist Sweatpants","Black","9.29","$9.29","12.39","$12.39","25","Men Sweatpants","2988","Color: Black
Pattern Type: Plain
Type: Jogger
Details: Drawstring
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Cropped
Fit Type: Loose
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Temperature: Late Fall (10-17℃/50-63℉)
Lined For Added Warmth: Yes
Body: Unlined
Sheer: No
","1000","5"
"10456086","sm2204275157376343","https://us.shein.com/Manfinity-Sporsity-Men-Letter-Graphic-Drawstring-Waist-Shorts-p-10456086-cat-1976.html","Manfinity Sporsity Men Letter Graphic Drawstring Waist Shorts","Black","4.45","$4.45","9.19","$9.19","52","Men Shorts","1976","Color: Black
Style: Casual
Pattern Type: Letter
Details: Drawstring
Details: Pocket
Type: Track Shorts
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Short
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","5"
"20786408","sm2307205239735527","https://us.shein.com/Manfinity-Homme-Loose-Fit-Men-Plus-Size-Striped-Geometric-Printed-Shirt-p-20786408-cat-6309.html","Manfinity Homme Men Plus Loose Fit Striped & Geometric Print Shirt","Black","10.96","$10.96","12.99","$12.99","16","Men Plus Size Shirts","6309","Color: Black
Style: Casual
Pattern Type: Colorblock
Pattern Type: Striped
Details: Pocket
Details: Button Front
Type: Shirt
Neckline: Shirt Collar
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Placket: Single Breasted
Fit Type: Loose
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Sheer: No
","500","4.85"
"22819904","sm2308249172189888","https://us.shein.com/Manfinity-LEGND-Men-Flap-Pocket-Polo-Shirt-p-22819904-cat-1981.html","Manfinity LEGND Men Flap Pocket Polo Shirt","Army Green","9.99","$9.99","11.49","$11.49","13","Men Polo Shirts","1981","Color: Army Green
Style: Casual
Pattern Type: Plain
Neckline: Collar
Details: Button
Details: Pocket
Details: Button Front
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash, do not dry clean
Sheer: No
","100","4.94"
"24375383","sm2308225145511349","https://us.shein.com/Manfinity-Hypemode-Loose-Fit-Men-s-Slant-Pocket-Wide-Leg-Jeans-p-24375383-cat-1989.html","Manfinity Hypemode Loose Fit Men's Slant Pocket Wide Leg Jeans","Medium Wash","18.23","$18.23","26.09","$26.09","30","Men Jeans","1989","Color: Medium Wash
Pattern Type: Plain
Details: Button
Details: Pocket
Details: Zipper
Type: Wide Leg
Closure Type: Zipper Fly
Waist Line: Natural
Length: Long
Fit Type: Loose
Fabric: Non-Stretch
Material: Denim
Composition: 78% Cotton
Composition: 12% Viscose
Composition: 8% Polyester
Composition: 2% Modal
Care Instructions: Hand wash,do not dry clean
Body: Unlined
Sheer: No
","100","4.83"
"3500775","sm2108244199622583","https://us.shein.com/Manfinity-EMRG-Men-Letter-Graphic-Flap-Pocket-Drawstring-Waist-Cargo-Pants-p-3500775-cat-1978.html","Manfinity EMRG Men Letter Graphic Flap Pocket Drawstring Waist Cargo Pants","Black","12.93","$12.93","18.49","$18.49","30","Men Pants","1978","Color: Black
Style: Street
Pattern Type: Letter
Details: Drawstring
Details: Pocket
Type: Cargo Pants
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Long
Fit Type: Loose
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Temperature: Spring/Fall (18-25℃/63-77℉)
Body: Unlined
Sheer: No
","1000","5"
